[ 2026-06-11 19:23:00,399 ] - 18 - INFO - Initiate the data ingestion
[ 2026-06-11 19:23:05,336 ] - 60 - INFO - Performed train test split on the dataframe
[ 2026-06-11 19:23:05,336 ] - 61 - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-11 19:23:05,337 ] - 65 - INFO - Exporting train and test file path.
[ 2026-06-11 19:23:05,387 ] - 73 - INFO - Exported train and test file path. 
[ 2026-06-11 19:23:05,388 ] - 20 - INFO - Data initiation completed.
[ 2026-06-11 19:23:05,394 ] - 24 - INFO - Initiate the data validation
[ 2026-06-11 19:23:05,530 ] - 33 - INFO - Required number of columns: 31
[ 2026-06-11 19:23:05,531 ] - 34 - INFO - Data frame has columns: 31
[ 2026-06-11 19:23:05,532 ] - 33 - INFO - Required number of columns: 31
[ 2026-06-11 19:23:05,533 ] - 34 - INFO - Data frame has columns: 31
