[ 2026-06-11 19:26:19,654 ] - 18 - INFO - Initiate the data ingestion
[ 2026-06-11 19:26:26,338 ] - 60 - INFO - Performed train test split on the dataframe
[ 2026-06-11 19:26:26,338 ] - 61 - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-11 19:26:26,338 ] - 65 - INFO - Exporting train and test file path.
[ 2026-06-11 19:26:26,385 ] - 73 - INFO - Exported train and test file path. 
[ 2026-06-11 19:26:26,386 ] - 20 - INFO - Data initiation completed.
[ 2026-06-11 19:26:26,389 ] - 24 - INFO - Initiate the data validation
[ 2026-06-11 19:26:26,509 ] - 33 - INFO - Required number of columns: 31
[ 2026-06-11 19:26:26,510 ] - 34 - INFO - Data frame has columns: 31
[ 2026-06-11 19:26:26,511 ] - 33 - INFO - Required number of columns: 31
[ 2026-06-11 19:26:26,511 ] - 34 - INFO - Data frame has columns: 31
[ 2026-06-11 19:26:26,708 ] - 26 - INFO - Data Validation completed.
