[ 2026-06-12 23:32:06,814 ] - 21 - INFO - Initiate the data ingestion
[ 2026-06-12 23:32:11,210 ] - 60 - INFO - Performed train test split on the dataframe
[ 2026-06-12 23:32:11,215 ] - 61 - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-12 23:32:11,219 ] - 65 - INFO - Exporting train and test file path.
[ 2026-06-12 23:32:11,411 ] - 73 - INFO - Exported train and test file path. 
[ 2026-06-12 23:32:11,413 ] - 23 - INFO - Data initiation completed.
[ 2026-06-12 23:32:11,433 ] - 27 - INFO - Initiate the data validation
[ 2026-06-12 23:32:11,671 ] - 33 - INFO - Required number of columns: 31
[ 2026-06-12 23:32:11,671 ] - 34 - INFO - Data frame has columns: 31
[ 2026-06-12 23:32:11,673 ] - 33 - INFO - Required number of columns: 31
[ 2026-06-12 23:32:11,673 ] - 34 - INFO - Data frame has columns: 31
[ 2026-06-12 23:32:12,142 ] - 29 - INFO - Data Validation completed.
[ 2026-06-12 23:32:12,144 ] - 32 - INFO - Data transformation started.
[ 2026-06-12 23:32:12,144 ] - 55 - INFO - Entered initiate_data_transformation method od DataTransformation class
[ 2026-06-12 23:32:12,144 ] - 57 - INFO - Starting data transformation
[ 2026-06-12 23:32:12,224 ] - 40 - INFO - Entered get_data_transformer_object methos of Transformation class
[ 2026-06-12 23:32:12,224 ] - 45 - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-12 23:32:12,451 ] - 41 - INFO - Entered the save object method of main utils class
[ 2026-06-12 23:32:12,463 ] - 45 - INFO - Exited the save_object methos of MainUtils class
[ 2026-06-12 23:32:12,464 ] - 41 - INFO - Entered the save object method of main utils class
[ 2026-06-12 23:32:12,479 ] - 45 - INFO - Exited the save_object methos of MainUtils class
[ 2026-06-12 23:32:12,482 ] - 36 - INFO - Data Transformation ended.
[ 2026-06-12 23:32:12,482 ] - 38 - INFO - Model Training started
[ 2026-06-12 23:42:56,007 ] - 1025 - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-06-12 23:42:56,136 ] - 107 - INFO - Accessing as itz-dhr-u-we
[ 2026-06-12 23:42:58,043 ] - 1025 - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/itz-dhr-u-we/networksecurity "HTTP/1.1 200 OK"
[ 2026-06-12 23:42:59,866 ] - 1025 - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-06-12 23:42:59,881 ] - 107 - INFO - Initialized MLflow to track repo "itz-dhr-u-we/networksecurity"
[ 2026-06-12 23:42:59,882 ] - 107 - INFO - Repository itz-dhr-u-we/networksecurity initialized!
[ 2026-06-12 23:43:49,614 ] - 41 - INFO - Entered the save object method of main utils class
[ 2026-06-12 23:43:49,635 ] - 45 - INFO - Exited the save_object methos of MainUtils class
[ 2026-06-12 23:43:49,635 ] - 41 - INFO - Entered the save object method of main utils class
[ 2026-06-12 23:43:49,654 ] - 45 - INFO - Exited the save_object methos of MainUtils class
[ 2026-06-12 23:43:49,655 ] - 166 - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06122026__233149\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9918041080643529, precision_score=0.9887028444623764, recall_score=0.9949248883475437), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9726468222043443, precision_score=0.9633466135458167, recall_score=0.9821283509341998))
[ 2026-06-12 23:43:49,658 ] - 42 - INFO - Model Training artifact created
