[ 2026-06-11 22:18:48,150 ] - 18 - INFO - Initiate the data ingestion
[ 2026-06-11 22:18:53,441 ] - 60 - INFO - Performed train test split on the dataframe
[ 2026-06-11 22:18:53,441 ] - 61 - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-11 22:18:53,442 ] - 65 - INFO - Exporting train and test file path.
[ 2026-06-11 22:18:53,527 ] - 73 - INFO - Exported train and test file path. 
[ 2026-06-11 22:18:53,529 ] - 20 - INFO - Data initiation completed.
[ 2026-06-11 22:18:53,535 ] - 24 - INFO - Initiate the data validation
[ 2026-06-11 22:18:53,656 ] - 33 - INFO - Required number of columns: 31
[ 2026-06-11 22:18:53,657 ] - 34 - INFO - Data frame has columns: 31
[ 2026-06-11 22:18:53,658 ] - 33 - INFO - Required number of columns: 31
[ 2026-06-11 22:18:53,658 ] - 34 - INFO - Data frame has columns: 31
[ 2026-06-11 22:18:53,880 ] - 26 - INFO - Data Validation completed.
[ 2026-06-11 22:18:53,880 ] - 29 - INFO - Data transformation started.
[ 2026-06-11 22:18:53,880 ] - 55 - INFO - Entered initiate_data_transformation method od DataTransformation class
[ 2026-06-11 22:18:53,880 ] - 57 - INFO - Starting data transformation
[ 2026-06-11 22:18:53,946 ] - 40 - INFO - Entered get_data_transformer_object methos of Transformation class
[ 2026-06-11 22:18:53,946 ] - 45 - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-11 22:18:54,055 ] - 38 - INFO - Entered the save object method of main utils class
[ 2026-06-11 22:18:54,062 ] - 42 - INFO - Exited the save_object methos of MainUtils class
[ 2026-06-11 22:18:54,064 ] - 33 - INFO - Data Transformation ended.
